Season,n,corr_JV,rankX,df_resid,condX,singularX,highCond,R2_A,AdjR2_A,Beta_J_A,Beta_V_A,SE_J_A,SE_V_A,P_J_A,P_V_A,R2_B,AdjR2_B,Beta_J_B,Beta_V_B,SE_J_B,SE_V_B,P_J_B,P_V_B
1,6,0.738203892087159,3,3,2.5767291239739185,False,False,0.9534116117652786,0.9223526862754643,-1.0702137753444498,-0.7043199162036289,0.31398701132027285,0.31398701132027296,0.04219818329660874,0.11063796224677147,0.8877375097865274,0.8128958496442124,-0.6997939520694636,-1.0217164685716102,0.48974290805040055,0.48974290805040066,0.24836087669245988,0.1282373595866413
2,10,0.9773659793996956,3,7,9.346794094909066,False,False,0.9514852882733742,0.9376239420657668,-1.327589229189415,-1.4192154172094638,1.1018471599217634,1.1018471599217634,0.26740034052883277,0.2386752550698341,0.9669462065128293,0.9575022655164948,-1.7440307292889627,-1.0956535483642293,0.932962583348624,0.9329625833486239,0.10377731970738502,0.27864255449672415
3,11,0.9709024372569267,3,8,8.230083787195554,False,False,0.9740467853353287,0.9675584816691609,-0.9992470121803263,-2.210693977785114,0.7687242258964331,0.7687242258964331,0.22984375401491808,0.0206443571338919,0.96419585414679,0.9552448176834875,-1.3409702811421822,-1.786549045348241,0.8834069168890765,0.8834069168890764,0.1675049278475913,0.07777587383320461
4,11,0.9918385889295437,3,8,15.622280975946214,False,False,0.9561435765406091,0.9451794706757614,-2.8341215185149298,-0.16855937617046957,1.7824676453678132,1.7824676453678134,0.15049881060830073,0.9269858784976845,0.9663978587311602,0.9579973234139503,-1.0777776426010468,-2.0366739165112455,1.6074178465359985,1.607417846535999,0.5214196869738681,0.24077766519809352
5,12,0.9691379539045769,3,9,7.987772987298899,False,False,0.9878267400657413,0.9851215711914616,-1.5056926284637886,-1.9985560039408659,0.5220074171120626,0.5220074171120624,0.018047352227280156,0.004036388523182222,0.9812868390753354,0.9771283588698544,-1.6941651178701238,-1.7521211268358452,0.6385270320621793,0.6385270320621792,0.02633599072849302,0.022698359313979122
6,10,0.9523333350685045,3,7,6.399847145472055,False,False,0.9785929815851748,0.9724766906095105,-1.2216461398855123,-1.6810681439630137,0.5257057181473523,0.5257057181473523,0.05309479966816433,0.01511326994247697,0.9787716777702494,0.9727064428474635,-1.4925229039894747,-1.3835379529907343,0.5185031767858912,0.5185031767858912,0.023701569990711047,0.03207722788328149
7,11,0.9744970402832076,3,8,8.79899257221377,False,False,0.952164030785279,0.9402050384815988,-2.1164155649346683,-0.9527690552112678,1.0779333914751887,1.0779333914751892,0.08520881614639664,0.40253915145078545,0.9631321901436849,0.9539152376796061,-2.4380989270099023,-0.6789107832492789,0.9566545468674112,0.9566545468674116,0.03425093080076769,0.4980672004745852
8,13,0.97904644212661,3,10,9.718497000899047,False,False,0.9548341682668079,0.9458010019201695,-3.073688936494646,-0.5550825812050038,1.2222540604679228,1.2222540604679228,0.03066089458506216,0.6594209451602153,0.9532879350384719,0.9439455220461662,-3.009841425349894,-0.6546648772162467,1.2558034448081687,1.2558034448081685,0.03752370758617185,0.6134983052549021
9,14,0.9126855307018661,3,11,4.680353726118042,False,False,0.9757305749093274,0.9713179521655687,-2.934223934143462,-1.116426161541832,0.4630440468257786,0.46304404682577843,5.545636720882818e-05,0.03454966258510672,0.9742552164307331,0.9695743466908664,-2.1494856153215816,-1.9189217286172036,0.47721058378305,0.47721058378304976,0.00089489610184601,0.002012257645646054
10,11,0.9867025248623293,3,8,12.22311304574755,False,False,0.9852234710122719,0.9815293387653399,-2.7770986209667328,-0.37911082226677695,0.839609678813606,0.839609678813606,0.010736427249194325,0.663595522000543,0.9774175423585394,0.9717719279481742,-2.0262105237136026,-1.1097062688566313,1.0336882824768132,1.0336882824768132,0.08563480641431132,0.3143399639652731
11,12,0.9683861771356959,3,9,7.890720230113451,False,False,0.9703638750041259,0.9637780694494872,-1.7937675759604748,-1.8732670528064213,0.8495428494490108,0.8495428494490109,0.06391906145175841,0.05488848453239137,0.9804435479383615,0.9760976697024418,-1.7814958296091663,-1.6639424693442058,0.6450709936579659,0.645070993657966,0.022050583626223696,0.029722360477871135
12,11,0.9750835417988786,3,8,8.903270752560134,False,False,0.9885843050676792,0.985730381334599,-1.5667244623912318,-1.6670321849663443,0.5503654290845693,0.5503654290845692,0.021588382748419344,0.016335359888846712,0.9822988190273992,0.9778735237842491,-1.5209319435847315,-1.6329150505539314,0.6705331264161516,0.6705331264161514,0.053035685448965975,0.0408662523697505
13,12,0.9803413819223152,3,9,10.036759983527618,False,False,0.9919039481701991,0.9901048255413545,-2.980085942007219,-0.6701985625420104,0.5554912944851884,0.5554912944851885,0.0004534615091116301,0.25838154056617313,0.9792770319193485,0.9746719279014259,-2.2241037593104576,-1.20741206486196,0.8395287937450702,0.8395287937450703,0.026509692788853734,0.18422586914432637
14,12,0.9515285328070889,3,9,6.3451861828603136,False,False,0.9875025211788433,0.9847253036630307,-1.340776953610375,-2.129750514192352,0.4182508287646953,0.4182508287646953,0.010733096470047387,0.0006521272047745885,0.9920954179843566,0.9903388442031026,-0.8805617508716237,-2.589819842022006,0.33263279146675184,0.33263279146675184,0.02659586576742945,2.7475578856517302e-05
15,13,0.8951614588132032,3,10,4.251700099522985,False,False,0.9034357038036838,0.8841228445644205,-1.9794049449311313,-1.562963990093103,0.8000993636545274,0.8000993636545275,0.032881783828618616,0.07929171871342144,0.9118831163249616,0.8942597395899539,-1.2552729590177336,-2.405250260322393,0.7879705571185743,0.7879705571185743,0.1422342829707166,0.01220035519525342
16,11,0.9900061497386275,3,8,14.111097422158926,False,False,0.9733387500523373,0.9666734375654216,-1.9936396037213022,-1.2302968047606544,1.3345333477008794,1.3345333477008794,0.17355991065743548,0.383544266140349,0.9690429136708564,0.9613036420885704,-1.703514885699243,-1.4171714002265552,1.3948946781523077,1.3948946781523077,0.2567580774988363,0.3393816176289748
17,12,0.9666211586993323,3,9,7.675819001186948,False,False,0.9824119342458323,0.9785034751893505,-2.23553821687435,-1.3743143235101365,0.6234325624420421,0.6234325624420421,0.005876729786004065,0.05494205664594998,0.9871453395387764,0.9842887483251711,-1.81080895756269,-1.6479031451699189,0.5092024257197088,0.5092024257197088,0.006156122538287123,0.010219938606605972
18,11,0.9692548445608692,3,8,8.003180552795081,False,False,0.9857643016520653,0.9822053770650816,-0.334981049879709,-2.7799970431532945,0.5362758663311139,0.5362758663311138,0.5496011500791784,0.0008387493735151352,0.9810398719699018,0.9762998399623772,-0.5732007345707169,-2.573400853808363,0.6256570339891602,0.6256570339891602,0.3863676827650613,0.0033760858103901725
19,13,0.9716732551330897,3,10,8.342940326063914,False,False,0.9672758644397468,0.9607310373276962,-2.4456737974770686,-1.2954604015801467,0.9148366689293387,0.9148366689293388,0.02335805233474475,0.18714434634818078,0.9787975997616702,0.9745571197140043,-1.459097457213247,-2.267917321652788,0.7290221501357371,0.7290221501357372,0.07321157087899044,0.01104368302550962
