Season,Beta_J_Rank,Beta_V_Rank,Beta_J_Pct,Beta_V_Pct,Ratio_Rank,Ratio_Pct,Bias_Index_B,P_Value
1,-1.0702,-0.7043,-0.6998,-1.0217,0.6581,1.46,2.2185,0.4266
2,-1.3276,-1.4192,-1.744,-1.0957,1.069,0.6282,0.5877,0.7261
3,-0.9992,-2.2107,-1.341,-1.7865,2.2124,1.3323,0.6022,0.6672
4,-2.8341,-0.1686,-1.0778,-2.0367,0.0595,1.8897,31.773,0.7471
5,-1.5057,-1.9986,-1.6942,-1.7521,1.3273,1.0342,0.7792,0.7139
6,-1.2216,-1.6811,-1.4925,-1.3835,1.3761,0.927,0.6736,0.5923
7,-2.1164,-0.9528,-2.4381,-0.6789,0.4502,0.2785,0.6185,0.8022
8,-3.0737,-0.5551,-3.0098,-0.6547,0.1806,0.2175,1.2044,0.9502
9,-2.9342,-1.1164,-2.1495,-1.9189,0.3805,0.8927,2.3463,0.1244
10,-2.7771,-0.3791,-2.0262,-1.1097,0.1365,0.5477,4.0119,0.5745
11,-1.7938,-1.8733,-1.7815,-1.6639,1.0443,0.934,0.8944,0.8947
12,-1.5667,-1.667,-1.5209,-1.6329,1.064,1.0736,1.009,0.9907
13,-2.9801,-0.6702,-2.2241,-1.2074,0.2249,0.5429,2.4139,0.4478
14,-1.3408,-2.1298,-0.8806,-2.5898,1.5884,2.9411,1.8516,0.2568
15,-1.9794,-1.563,-1.2553,-2.4053,0.7896,1.9161,2.4267,0.3571
16,-1.9936,-1.2303,-1.7035,-1.4172,0.6171,0.8319,1.3481,0.8687
17,-2.2355,-1.3743,-1.8108,-1.6479,0.6148,0.91,1.4803,0.5622
18,-0.335,-2.78,-0.5732,-2.5734,8.299,4.4895,0.541,0.7542
19,-2.4457,-1.2955,-1.4591,-2.2679,0.5297,1.5543,2.9344,0.2797
20,-0.6836,-2.9414,-2.0891,-1.3334,4.3026,0.6383,0.1483,0.3046
21,-1.0202,-1.7904,0.0496,-2.8786,1.7549,58.0136,33.0578,0.7724
22,-0.0975,-3.3445,0.4565,-3.8505,34.2986,8.4342,0.2459,0.8038
23,-2.8935,-0.7642,-2.7325,-0.9222,0.2641,0.3375,1.2777,0.9158
24,-1.5976,-1.7855,-1.4105,-2.0069,1.1176,1.4228,1.273,0.8378
25,-1.9846,-1.1621,-2.9023,-0.2456,0.5856,0.0846,0.1445,0.3903
27,-1.1578,-2.3618,-1.1771,-2.3471,2.0399,1.9939,0.9775,0.9902
28,-1.0793,-2.2022,-0.4535,-2.9577,2.0404,6.5213,3.196,0.5701
29,0.9931,-5.2491,1.341,-5.528,5.2857,4.1223,0.7799,0.9179
30,-2.4407,-2.0539,-1.1544,-3.2201,0.8415,2.7895,3.3147,0.0813
31,-1.8589,-2.7159,-1.0991,-3.4816,1.461,3.1677,2.1682,0.3231
32,-2.9806,-1.1255,-2.5003,-1.5586,0.3776,0.6234,1.6508,0.4983
33,-0.9297,-1.412,-0.1528,-2.2202,1.5188,14.5279,9.5654,0.7185
34,-1.53,-1.6601,-1.4051,-1.8741,1.0851,1.3338,1.2292,0.9129
