Celebrity,Celebrity_HomeState,Celebrity_HomeCountry,Ballroom_Partner,Celebrity_Population,Population_Scope,Population_Source,Partner_Twitter,Partner_Followers,Followers_Source
AJ McLean,Florida,United States,Cheryl Burke,22610726,US_State,Census 2023 PEP,CherylBurke,450000,Twitter
Aaron Carter,Florida,United States,Karina Smirnoff,22610726,US_State,Census 2023 PEP,KasrinaSmirnoff,210000,Twitter
Adam Carolla,California,United States,Julianne Hough,38965193,US_State,Census 2023 PEP,juaborshough,2500000,Twitter
Adam Rippon,Pennsylvania,United States,Jenna Johnson,12961683,US_State,Census 2023 PEP,jennajohnson,680000,Twitter
Adrian Peterson,Texas,United States,Britt Stewart,30503301,US_State,Census 2023 PEP,BrittStewart,45000,Twitter
Aiden Turner,,England,Edyta Sliwinska,56490048,Country,World Bank 2023,EdytaSliwinska,45000,Twitter
Albert Reed,Florida,United States,Anna Trebunskaya,22610726,US_State,Census 2023 PEP,AnnaTrebunskaya,50000,Twitter
Alek Skarlatos,California,United States,Lindsay Arnold,38965193,US_State,Census 2023 PEP,lindsayarnold,380000,Twitter
Alexa PenaVega,Florida,United States,Mark Ballas,22610726,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Alexandra Raisman,Massachusetts,United States,Mark Ballas,7001399,US_State,Census 2023 PEP,MarkBallas,650000,Twitter
Alexis Ren,California,United States,Alan Bersten,38965193,US_State,Census 2023 PEP,Dance10Alan,220000,Twitter
Alfonso Ribeiro,New York,United States,Witney Carson,19571216,US_State,Census 2023 PEP,WitneyCarson,520000,Twitter
Alix Earle,Florida,United States,Val Chmerkovskiy,22610726,US_State,Census 2023 PEP,ValChmerkoskiy,850000,Twitter
Ally Brooke,Texas,United States,Sasha Farber,30503301,US_State,Census 2023 PEP,SashaFarber,180000,Twitter
Alyson Hannigan,Washington D.C.,United States,Sasha Farber,334914895,Country,World Bank 2023,SashaFarber,180000,Twitter
Amanda Kloots,Ohio,United States,Alan Bersten,11785935,US_State,Census 2023 PEP,Dance10Alan,220000,Twitter
Amber Riley,California,United States,Derek Hough,38965193,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Amber Rose,Pennsylvania,United States,Maksim Chmerkoskiy,12961683,US_State,Census 2023 PEP,MaksimC,520000,Twitter
Amy Purdy,Nevada,United States,Derek Hough,3194176,US_State,Census 2023 PEP,daborhough,1800000,Twitter
Andy Dick,South Carolina,United States,Sharna Burgess,5373555,US_State,Census 2023 PEP,SharnaBurgess,480000,Twitter
Andy Grammer,California,United States,Allison Holker,38965193,US_State,Census 2023 PEP,Alison_Holker,450000,Twitter
Andy Richter,California,United States,Emma Slater,38965193,US_State,Census 2023 PEP,EmmaSlaterDance,350000,Twitter
Anna Delvey,,Russia,Ezra Sosa,144444359,Country,World Bank 2023,,25000,Instagram estimate
Anne Heche,Ohio,United States,Keo Motsepe,11785935,US_State,Census 2023 PEP,keo_motsepe,95000,Twitter
Antonio Brown,Florida,United States,Sharna Burgess,22610726,US_State,Census 2023 PEP,SharnaBurgess,480000,Twitter
Antonio Sabato Jr.,,Italy,Cheryl Burke,58761146,Country,World Bank 2023,CherylBurke,450000,Twitter
Apolo Anton Ohno,Washington,United States,Julianne Hough,7812880,US_State,Census 2023 PEP,juaborshough,2500000,Twitter
Ariana Madix,Florida,United States,Pasha Pashkov,22610726,US_State,Census 2023 PEP,PashaPashkov,120000,Twitter
Arike Ogunbowale,Wisconsin,United States,Gleb Savchenko,5910955,US_State,Census 2023 PEP,GlebSavchenkoTV,320000,Twitter
Ashley Hamiliton,California,United States,Edyta Sliwinska,38965193,US_State,Census 2023 PEP,EdytaSliwinska,45000,Twitter
Audrina Patridge,California,United States,Tony Dovolani,38965193,US_State,Census 2023 PEP,TonyDovolani,180000,Twitter
Babyface,Indiana,United States,Allison Holker,6862199,US_State,Census 2023 PEP,Alison_Holker,450000,Twitter
Barbara Corcoran,New Jersey,United States,Keo Motsepe,9290841,US_State,Census 2023 PEP,keo_motsepe,95000,Twitter
Baron Davis,California,United States,Britt Stewart,38965193,US_State,Census 2023 PEP,BrittStewart,45000,Twitter
Barry Williams,California,United States,Peta Murgatroyd,38965193,US_State,Census 2023 PEP,PetaMurgatroyd,620000,Twitter
