Celebrity,Celebrity_HomeState,Celebrity_HomeCountry,Celebrity_Region,Celebrity_Population,Population_Scope,Population_Source,Ballroom_Partner,Partner_Twitter,Partner_Followers,Followers_Source
AJ McLean,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Cheryl Burke,CherylBurke,450000,Twitter
Aaron Carter,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
Adam Carolla,California,United States,California,38965193,US_State,Census 2023 PEP - California,Julianne Hough,juaborshough,2500000,Twitter
Adam Rippon,Pennsylvania,United States,Pennsylvania,12961683,US_State,Census 2023 PEP - Pennsylvania,Jenna Johnson,jennajohnson,680000,Twitter
Adrian Peterson,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Britt Stewart,BrittStewart,45000,Twitter
Aiden Turner,,England,"Leytonstone, London",8799800,England_Region,"Greater London population, ONS 2023",Edyta Sliwinska,EdytaSliwinska,45000,Twitter
Albert Reed,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Anna Trebunskaya,AnnaTrebunskaya,50000,Twitter
Alek Skarlatos,California,United States,California,38965193,US_State,Census 2023 PEP - California,Lindsay Arnold,lindsayarnold,380000,Twitter
Alexa PenaVega,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Mark Ballas,MarkBallas,650000,Twitter
Alexandra Raisman,Massachusetts,United States,Massachusetts,7001399,US_State,Census 2023 PEP - Massachusetts,Mark Ballas,MarkBallas,650000,Twitter
Alexis Ren,California,United States,California,38965193,US_State,Census 2023 PEP - California,Alan Bersten,Dance10Alan,220000,Twitter
Alfonso Ribeiro,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Witney Carson,WitneyCarson,520000,Twitter
Alix Earle,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Val Chmerkovskiy,ValChmerkoskiy,850000,Twitter
Ally Brooke,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Sasha Farber,SashaFarber,180000,Twitter
Alyson Hannigan,Washington D.C.,United States,Washington D.C.,678972,US_State,Census 2023 PEP - Washington D.C.,Sasha Farber,SashaFarber,180000,Twitter
Amanda Kloots,Ohio,United States,Ohio,11785935,US_State,Census 2023 PEP - Ohio,Alan Bersten,Dance10Alan,220000,Twitter
Amber Riley,California,United States,California,38965193,US_State,Census 2023 PEP - California,Derek Hough,daborhough,1800000,Twitter
Amber Rose,Pennsylvania,United States,Pennsylvania,12961683,US_State,Census 2023 PEP - Pennsylvania,Maksim Chmerkoskiy,MaksimC,520000,Twitter
Amy Purdy,Nevada,United States,Nevada,3194176,US_State,Census 2023 PEP - Nevada,Derek Hough,daborhough,1800000,Twitter
Andy Dick,South Carolina,United States,South Carolina,5373555,US_State,Census 2023 PEP - South Carolina,Sharna Burgess,SharnaBurgess,480000,Twitter
Andy Grammer,California,United States,California,38965193,US_State,Census 2023 PEP - California,Allison Holker,Alison_Holker,450000,Twitter
Andy Richter,California,United States,California,38965193,US_State,Census 2023 PEP - California,Emma Slater,EmmaSlaterDance,350000,Twitter
Anna Delvey,,Russia,Eschweiler,56385,Germany_Region,"Eschweiler city population, Destatis 2022",Ezra Sosa,,25000,Instagram estimate
Anne Heche,Ohio,United States,Ohio,11785935,US_State,Census 2023 PEP - Ohio,Keo Motsepe,keo_motsepe,95000,Twitter
Antonio Brown,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Sharna Burgess,SharnaBurgess,480000,Twitter
Antonio Sabato Jr.,,Italy,Rome,2860009,Italy_Region,"Rome city population, ISTAT 2023",Cheryl Burke,CherylBurke,450000,Twitter
Apolo Anton Ohno,Washington,United States,Washington,7812880,US_State,Census 2023 PEP - Washington,Julianne Hough,juaborshough,2500000,Twitter
Ariana Madix,Florida,United States,Florida,22610726,US_State,Census 2023 PEP - Florida,Pasha Pashkov,PashaPashkov,120000,Twitter
Arike Ogunbowale,Wisconsin,United States,Wisconsin,5910955,US_State,Census 2023 PEP - Wisconsin,Gleb Savchenko,GlebSavchenkoTV,320000,Twitter
Ashley Hamiliton,California,United States,California,38965193,US_State,Census 2023 PEP - California,Edyta Sliwinska,EdytaSliwinska,45000,Twitter
Audrina Patridge,California,United States,California,38965193,US_State,Census 2023 PEP - California,Tony Dovolani,TonyDovolani,180000,Twitter
Babyface,Indiana,United States,Indiana,6862199,US_State,Census 2023 PEP - Indiana,Allison Holker,Alison_Holker,450000,Twitter
Barbara Corcoran,New Jersey,United States,New Jersey,9290841,US_State,Census 2023 PEP - New Jersey,Keo Motsepe,keo_motsepe,95000,Twitter
Baron Davis,California,United States,California,38965193,US_State,Census 2023 PEP - California,Britt Stewart,BrittStewart,45000,Twitter
Barry Williams,California,United States,California,38965193,US_State,Census 2023 PEP - California,Peta Murgatroyd,PetaMurgatroyd,620000,Twitter
Belinda Carlisle,California,United States,California,38965193,US_State,Census 2023 PEP - California,Jonathan Roberts,,8000,Instagram estimate
Bethany Mota,California,United States,California,38965193,US_State,Census 2023 PEP - California,Derek Hough,daborhough,1800000,Twitter
Betsey Johnson,Connecticut,United States,Connecticut,3617176,US_State,Census 2023 PEP - Connecticut,Tony Dovolani,TonyDovolani,180000,Twitter
Bill Engvall,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Emma Slater,EmmaSlaterDance,350000,Twitter
Bill Nye,Washington D.C.,United States,Washington D.C.,678972,US_State,Census 2023 PEP - Washington D.C.,Tyne Stecklein,,8000,Instagram estimate
Billy Dee Williams,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Emma Slater,EmmaSlaterDance,350000,Twitter
Billy Ray Cyrus,Kentucky,United States,Kentucky,4526154,US_State,Census 2023 PEP - Kentucky,Karina Smirnoff,KasrinaSmirnoff,210000,Twitter
Bindi Irwin,,Australia,"Buderim, Queensland",606774,Australia_Region,"Sunshine Coast region population, ABS 2023",Derek Hough,daborhough,1800000,Twitter
Bobby Bones,Arkansas,United States,Arkansas,3067732,US_State,Census 2023 PEP - Arkansas,Sharna Burgess,SharnaBurgess,480000,Twitter
Bonner Bolton,Texas,United States,Texas,30503301,US_State,Census 2023 PEP - Texas,Sharna Burgess,SharnaBurgess,480000,Twitter
Brandy,Mississippi,United States,Mississippi,2939690,US_State,Census 2023 PEP - Mississippi,Maksim Chmerkoskiy,MaksimC,520000,Twitter
Brant Daugherty,Ohio,United States,Ohio,11785935,US_State,Census 2023 PEP - Ohio,Peta Murgatroyd,PetaMurgatroyd,620000,Twitter
Brian Austin Green,California,United States,California,38965193,US_State,Census 2023 PEP - California,Sharna Burgess,SharnaBurgess,480000,Twitter
Bristol Palin,Alaska,United States,Alaska,733406,US_State,Census 2023 PEP - Alaska,Mark Ballas,MarkBallas,650000,Twitter
Brooke Burke,Connecticut,United States,Connecticut,3617176,US_State,Census 2023 PEP - Connecticut,Derek Hough,daborhough,1800000,Twitter
Brooks Nader,New York,United States,New York,19571216,US_State,Census 2023 PEP - New York,Gleb Savchenko,GlebSavchenkoTV,320000,Twitter
Buzz Aldrin,New Jersey,United States,New Jersey,9290841,US_State,Census 2023 PEP - New Jersey,Ashly DelGrosso,,5000,Instagram estimate
Calvin Johnson Jr.,Georgia,United States,Georgia,11029227,US_State,Census 2023 PEP - Georgia,Lindsay Arnold,lindsayarnold,380000,Twitter
Cameron Mathison,,Canada,"Sarnia, Ontario",73000,Canada_Region,"Sarnia city population, Statistics Canada 2023",Edyta Sliwinska,EdytaSliwinska,45000,Twitter
Candace Cameron Bure,California,United States,California,38965193,US_State,Census 2023 PEP - California,Mark Ballas,MarkBallas,650000,Twitter
