Celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,Age,Season,results,placement,Score,Week,Judge_ID,Final_Rank,Final_Status,Elim_Week,Active,Total_Score,Max_Possible_Score,Percent_Score,Standardized_Score,Num_Judges,Week_Rank
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,1,1,,Eliminated,3.0,1,18.0,30,0.1651376146788991,-0.06726727939963172,3,2.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,7.0,1,2,,Eliminated,3.0,1,18.0,30,0.1651376146788991,-0.06726727939963172,3,2.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,6.0,1,3,,Eliminated,3.0,1,18.0,30,0.1651376146788991,-0.06726727939963172,3,2.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,1,4,,Eliminated,3.0,1,18.0,30,0.1651376146788991,-0.06726727939963172,3,2.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,2,1,,Eliminated,3.0,1,14.0,30,0.11570247933884298,-1.5194078903533865,3,6.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,4.0,2,2,,Eliminated,3.0,1,14.0,30,0.11570247933884298,-1.5194078903533865,3,6.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,2,3,,Eliminated,3.0,1,14.0,30,0.11570247933884298,-1.5194078903533865,3,6.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,2,4,,Eliminated,3.0,1,14.0,30,0.11570247933884298,-1.5194078903533865,3,6.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,3,1,,Eliminated,3.0,1,13.0,30,0.12264150943396226,-1.8446772097299746,3,5.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,4.0,3,2,,Eliminated,3.0,1,13.0,30,0.12264150943396226,-1.8446772097299746,3,5.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,4.0,3,3,,Eliminated,3.0,1,13.0,30,0.12264150943396226,-1.8446772097299746,3,5.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,3,4,,Eliminated,3.0,1,13.0,30,0.12264150943396226,-1.8446772097299746,3,5.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,4,1,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,4,2,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,4,3,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,4,4,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,5,1,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,5,2,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,5,3,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,5,4,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,6,1,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,6,2,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,6,3,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,6,4,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,7,1,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,7,2,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,7,3,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,7,4,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,8,1,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,8,2,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,8,3,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,8,4,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,9,1,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,9,2,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,9,3,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,9,4,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,10,1,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,10,2,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,10,3,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,10,4,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,11,1,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,11,2,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,11,3,,Eliminated,3.0,0,,0,,,0,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,,11,4,,Eliminated,3.0,0,,0,,,0,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,1,1,3.0,Finalist,,1,20.0,30,0.1834862385321101,0.7399400733959433,3,1.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,1,2,3.0,Finalist,,1,20.0,30,0.1834862385321101,0.7399400733959433,3,1.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,6.0,1,3,3.0,Finalist,,1,20.0,30,0.1834862385321101,0.7399400733959433,3,1.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,1,4,3.0,Finalist,,1,20.0,30,0.1834862385321101,0.7399400733959433,3,1.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,8.0,2,1,3.0,Finalist,,1,21.0,30,0.17355371900826447,0.20532539058829513,3,3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,2,2,3.0,Finalist,,1,21.0,30,0.17355371900826447,0.20532539058829513,3,3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,6.0,2,3,3.0,Finalist,,1,21.0,30,0.17355371900826447,0.20532539058829513,3,3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,2,4,3.0,Finalist,,1,21.0,30,0.17355371900826447,0.20532539058829513,3,3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,3,1,3.0,Finalist,,1,22.0,30,0.20754716981132076,0.17996850826633917,3,3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,3,2,3.0,Finalist,,1,22.0,30,0.20754716981132076,0.17996850826633917,3,3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,8.0,3,3,3.0,Finalist,,1,22.0,30,0.20754716981132076,0.17996850826633917,3,3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,3,4,3.0,Finalist,,1,22.0,30,0.20754716981132076,0.17996850826633917,3,3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,4,1,3.0,Finalist,,1,20.0,30,0.21739130434782608,-1.1766968108291043,3,4.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,6.0,4,2,3.0,Finalist,,1,20.0,30,0.21739130434782608,-1.1766968108291043,3,4.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,4,3,3.0,Finalist,,1,20.0,30,0.21739130434782608,-1.1766968108291043,3,4.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,4,4,3.0,Finalist,,1,20.0,30,0.21739130434782608,-1.1766968108291043,3,4.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,8.5,5,1,3.0,Finalist,,1,22.5,30,0.3082191780821918,-0.9502552681394955,3,3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,5,2,3.0,Finalist,,1,22.5,30,0.3082191780821918,-0.9502552681394955,3,3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,5,3,3.0,Finalist,,1,22.5,30,0.3082191780821918,-0.9502552681394955,3,3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,5,4,3.0,Finalist,,1,22.5,30,0.3082191780821918,-0.9502552681394955,3,3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,,6,1,3.0,Finalist,,0,,0,,,0,
