Season,Celebrity,Week,Total_Score,Num_Judges,Avg_Score,Std_Score,Age,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,results,placement,Final_Rank,Final_Status,Elim_Week,Active,Max_Possible_Score,Percent_Score,Standardized_Score,Week_Rank
1,Evander Holyfield,1,18.0,3,6.0,1.0,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,1,30,0.1651376146788991,-0.06726727939963172,2.0
1,Evander Holyfield,2,14.0,3,4.666666666666667,0.5773502691896257,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,1,30,0.11570247933884298,-1.5194078903533865,6.0
1,Evander Holyfield,3,13.0,3,4.333333333333333,0.5773502691896257,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,1,30,0.12264150943396226,-1.8446772097299746,5.0
1,Evander Holyfield,4,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,
1,Evander Holyfield,5,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,
1,Evander Holyfield,6,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,
1,Evander Holyfield,7,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,
1,Evander Holyfield,8,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,
1,Evander Holyfield,9,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,
1,Evander Holyfield,10,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,
1,Evander Holyfield,11,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,
1,Joey McIntyre,1,20.0,3,6.666666666666667,0.5773502691896258,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,1,30,0.1834862385321101,0.7399400733959433,1.0
1,Joey McIntyre,2,21.0,3,7.0,1.0,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,1,30,0.17355371900826447,0.20532539058829513,3.0
1,Joey McIntyre,3,22.0,3,7.333333333333333,0.5773502691896258,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,1,30,0.20754716981132076,0.17996850826633917,3.0
1,Joey McIntyre,4,20.0,3,6.666666666666667,0.5773502691896257,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,1,30,0.21739130434782608,-1.1766968108291043,4.0
1,Joey McIntyre,5,22.5,3,7.5,0.8660254037844386,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,1,30,0.3082191780821918,-0.9502552681394955,3.0
1,Joey McIntyre,6,,0,,,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,0,0,,,
1,Joey McIntyre,7,,0,,,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,0,0,,,
1,Joey McIntyre,8,,0,,,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,0,0,,,
1,Joey McIntyre,9,,0,,,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,0,0,,,
1,Joey McIntyre,10,,0,,,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,0,0,,,
1,Joey McIntyre,11,,0,,,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,0,0,,,
1,John O'Hurley,1,20.0,3,6.666666666666667,0.5773502691896258,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,1,30,0.1834862385321101,0.7399400733959433,1.0
1,John O'Hurley,2,26.0,3,8.666666666666666,0.5773502691896258,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,1,30,0.21487603305785125,1.4372777341180678,1.0
1,John O'Hurley,3,24.0,3,8.0,1.0,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,1,30,0.22641509433962265,0.6298897789321867,2.0
1,John O'Hurley,4,21.0,3,7.0,1.0,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,1,30,0.22826086956521738,-0.7844645405527362,3.0
1,John O'Hurley,5,27.0,3,9.0,0.0,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,1,30,0.3698630136986301,1.3821894809301767,1.0
1,John O'Hurley,6,27.0,3,9.0,0.0,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,1,30,0.4954128440366973,-1.0,2.0
1,John O'Hurley,7,,0,,,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,0,0,,,
1,John O'Hurley,8,,0,,,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,0,0,,,
1,John O'Hurley,9,,0,,,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,0,0,,,
1,John O'Hurley,10,,0,,,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,0,0,,,
1,John O'Hurley,11,,0,,,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,0,0,,,
1,Kelly Monaco,1,13.0,3,4.333333333333333,0.5773502691896257,29,Alec Mazo,Actor/Actress,Pennsylvania,United States,1st Place,1,1.0,Winner,,1,30,0.11926605504587157,-2.085285661388569,3.0
1,Kelly Monaco,2,17.0,3,5.666666666666667,0.5773502691896257,29,Alec Mazo,Actor/Actress,Pennsylvania,United States,1st Place,1,1.0,Winner,,1,30,0.14049586776859505,-0.7802364842355229,5.0
1,Kelly Monaco,3,21.0,3,7.0,1.0,29,Alec Mazo,Actor/Actress,Pennsylvania,United States,1st Place,1,1.0,Winner,,1,30,0.19811320754716982,-0.04499212706658459,4.0
1,Kelly Monaco,4,26.0,3,8.666666666666666,0.5773502691896255,29,Alec Mazo,Actor/Actress,Pennsylvania,United States,1st Place,1,1.0,Winner,,1,30,0.2826086956521739,1.1766968108291043,1.0
1,Kelly Monaco,5,23.5,3,7.833333333333333,0.5773502691896257,29,Alec Mazo,Actor/Actress,Pennsylvania,United States,1st Place,1,1.0,Winner,,1,30,0.3219178082191781,-0.4319342127906794,2.0
1,Kelly Monaco,6,27.5,3,9.166666666666666,0.5773502691896258,29,Alec Mazo,Actor/Actress,Pennsylvania,United States,1st Place,1,1.0,Winner,,1,30,0.5045871559633027,1.0,1.0
1,Kelly Monaco,7,,0,,,29,Alec Mazo,Actor/Actress,Pennsylvania,United States,1st Place,1,1.0,Winner,,0,0,,,
1,Kelly Monaco,8,,0,,,29,Alec Mazo,Actor/Actress,Pennsylvania,United States,1st Place,1,1.0,Winner,,0,0,,,
1,Kelly Monaco,9,,0,,,29,Alec Mazo,Actor/Actress,Pennsylvania,United States,1st Place,1,1.0,Winner,,0,0,,,
1,Kelly Monaco,10,,0,,,29,Alec Mazo,Actor/Actress,Pennsylvania,United States,1st Place,1,1.0,Winner,,0,0,,,
1,Kelly Monaco,11,,0,,,29,Alec Mazo,Actor/Actress,Pennsylvania,United States,1st Place,1,1.0,Winner,,0,0,,,
1,Rachel Hunter,1,20.0,3,6.666666666666667,0.5773502691896257,35,Jonathan Roberts,Model,,New Zealand,Eliminated Week 4,4,,Eliminated,4.0,1,30,0.1834862385321101,0.7399400733959433,1.0
1,Rachel Hunter,2,24.0,3,8.0,0.0,35,Jonathan Roberts,Model,,New Zealand,Eliminated Week 4,4,,Eliminated,4.0,1,30,0.19834710743801653,0.9444967967061587,2.0
1,Rachel Hunter,3,26.0,3,8.666666666666666,0.5773502691896258,35,Jonathan Roberts,Model,,New Zealand,Eliminated Week 4,4,,Eliminated,4.0,1,30,0.24528301886792453,1.0798110495980342,1.0
1,Rachel Hunter,4,25.0,3,8.333333333333334,1.1547005383792515,35,Jonathan Roberts,Model,,New Zealand,Eliminated Week 4,4,,Eliminated,4.0,1,30,0.2717391304347826,0.7844645405527362,2.0
1,Rachel Hunter,5,,0,,,35,Jonathan Roberts,Model,,New Zealand,Eliminated Week 4,4,,Eliminated,4.0,0,0,,,
1,Rachel Hunter,6,,0,,,35,Jonathan Roberts,Model,,New Zealand,Eliminated Week 4,4,,Eliminated,4.0,0,0,,,
1,Rachel Hunter,7,,0,,,35,Jonathan Roberts,Model,,New Zealand,Eliminated Week 4,4,,Eliminated,4.0,0,0,,,
1,Rachel Hunter,8,,0,,,35,Jonathan Roberts,Model,,New Zealand,Eliminated Week 4,4,,Eliminated,4.0,0,0,,,
1,Rachel Hunter,9,,0,,,35,Jonathan Roberts,Model,,New Zealand,Eliminated Week 4,4,,Eliminated,4.0,0,0,,,
1,Rachel Hunter,10,,0,,,35,Jonathan Roberts,Model,,New Zealand,Eliminated Week 4,4,,Eliminated,4.0,0,0,,,
1,Rachel Hunter,11,,0,,,35,Jonathan Roberts,Model,,New Zealand,Eliminated Week 4,4,,Eliminated,4.0,0,0,,,
1,Trista Sutter,1,18.0,3,6.0,0.0,32,Louis van Amstel,TV Personality,Indiana,United States,Eliminated Week 2,6,,Eliminated,2.0,1,30,0.1651376146788991,-0.06726727939963172,2.0
1,Trista Sutter,2,19.0,3,6.333333333333333,0.5773502691896257,32,Louis van Amstel,TV Personality,Indiana,United States,Eliminated Week 2,6,,Eliminated,2.0,1,30,0.15702479338842976,-0.2874555468236139,4.0
1,Trista Sutter,3,,0,,,32,Louis van Amstel,TV Personality,Indiana,United States,Eliminated Week 2,6,,Eliminated,2.0,0,0,,,
1,Trista Sutter,4,,0,,,32,Louis van Amstel,TV Personality,Indiana,United States,Eliminated Week 2,6,,Eliminated,2.0,0,0,,,
1,Trista Sutter,5,,0,,,32,Louis van Amstel,TV Personality,Indiana,United States,Eliminated Week 2,6,,Eliminated,2.0,0,0,,,
1,Trista Sutter,6,,0,,,32,Louis van Amstel,TV Personality,Indiana,United States,Eliminated Week 2,6,,Eliminated,2.0,0,0,,,
1,Trista Sutter,7,,0,,,32,Louis van Amstel,TV Personality,Indiana,United States,Eliminated Week 2,6,,Eliminated,2.0,0,0,,,
1,Trista Sutter,8,,0,,,32,Louis van Amstel,TV Personality,Indiana,United States,Eliminated Week 2,6,,Eliminated,2.0,0,0,,,
1,Trista Sutter,9,,0,,,32,Louis van Amstel,TV Personality,Indiana,United States,Eliminated Week 2,6,,Eliminated,2.0,0,0,,,
1,Trista Sutter,10,,0,,,32,Louis van Amstel,TV Personality,Indiana,United States,Eliminated Week 2,6,,Eliminated,2.0,0,0,,,
1,Trista Sutter,11,,0,,,32,Louis van Amstel,TV Personality,Indiana,United States,Eliminated Week 2,6,,Eliminated,2.0,0,0,,,
2,Drew Lachey,1,24.0,3,8.0,0.0,29,Cheryl Burke,Singer/Rapper,Ohio,United States,1st Place,1,1.0,Winner,,1,30,0.12307692307692308,1.1448491654582649,1.0
2,Drew Lachey,2,27.0,3,9.0,0.0,29,Cheryl Burke,Singer/Rapper,Ohio,United States,1st Place,1,1.0,Winner,,1,30,0.135,1.1962920007605131,2.0
2,Drew Lachey,3,27.0,3,9.0,0.0,29,Cheryl Burke,Singer/Rapper,Ohio,United States,1st Place,1,1.0,Winner,,1,30,0.14835164835164835,1.003478271371624,1.0
2,Drew Lachey,4,28.0,3,9.333333333333334,0.5773502691896255,29,Cheryl Burke,Singer/Rapper,Ohio,United States,1st Place,1,1.0,Winner,,1,30,0.17721518987341772,0.8649777618513721,1.0
2,Drew Lachey,5,27.0,3,9.0,0.0,29,Cheryl Burke,Singer/Rapper,Ohio,United States,1st Place,1,1.0,Winner,,1,30,0.17880794701986755,0.6861611477069854,2.0
2,Drew Lachey,6,30.0,3,10.0,0.0,29,Cheryl Burke,Singer/Rapper,Ohio,United States,1st Place,1,1.0,Winner,,1,30,0.22556390977443608,1.0838804122076746,1.0
2,Drew Lachey,7,27.5,3,9.166666666666666,0.28867513459481275,29,Cheryl Burke,Singer/Rapper,Ohio,United States,1st Place,1,1.0,Winner,,1,30,0.2696078431372549,0.6859943405700353,1.0
2,Drew Lachey,8,28.9998,3,9.6666,0.0,29,Cheryl Burke,Singer/Rapper,Ohio,United States,1st Place,1,1.0,Winner,,1,30,0.34387291318097685,0.8626554143466422,1.0
2,Drew Lachey,9,,0,,,29,Cheryl Burke,Singer/Rapper,Ohio,United States,1st Place,1,1.0,Winner,,0,0,,,
2,Drew Lachey,10,,0,,,29,Cheryl Burke,Singer/Rapper,Ohio,United States,1st Place,1,1.0,Winner,,0,0,,,
2,Drew Lachey,11,,0,,,29,Cheryl Burke,Singer/Rapper,Ohio,United States,1st Place,1,1.0,Winner,,0,0,,,
2,George Hamilton,1,18.0,3,6.0,1.0,66,Edyta Sliwinska,Actor/Actress,Tennessee,United States,Eliminated Week 6,5,,Eliminated,6.0,1,30,0.09230769230769231,-0.3816163884860883,7.0
2,George Hamilton,2,22.0,3,7.333333333333333,0.5773502691896257,66,Edyta Sliwinska,Actor/Actress,Tennessee,United States,Eliminated Week 6,5,,Eliminated,6.0,1,30,0.11,-0.05564148840746552,5.0
2,George Hamilton,3,22.0,3,7.333333333333333,0.5773502691896258,66,Edyta Sliwinska,Actor/Actress,Tennessee,United States,Eliminated Week 6,5,,Eliminated,6.0,1,30,0.12087912087912088,-0.1770844008302866,4.0
2,George Hamilton,4,21.0,3,7.0,0.0,66,Edyta Sliwinska,Actor/Actress,Tennessee,United States,Eliminated Week 6,5,,Eliminated,6.0,1,30,0.13291139240506328,-0.2503882994832922,5.0
2,George Hamilton,5,24.0,3,8.0,0.0,66,Edyta Sliwinska,Actor/Actress,Tennessee,United States,Eliminated Week 6,5,,Eliminated,6.0,1,30,0.15894039735099338,-0.4366480030862642,4.0
2,George Hamilton,6,23.0,3,7.666666666666667,0.5773502691896257,66,Edyta Sliwinska,Actor/Actress,Tennessee,United States,Eliminated Week 6,5,,Eliminated,6.0,1,30,0.17293233082706766,-1.1476380835140094,3.0
2,George Hamilton,7,,0,,,66,Edyta Sliwinska,Actor/Actress,Tennessee,United States,Eliminated Week 6,5,,Eliminated,6.0,0,0,,,
2,George Hamilton,8,,0,,,66,Edyta Sliwinska,Actor/Actress,Tennessee,United States,Eliminated Week 6,5,,Eliminated,6.0,0,0,,,
2,George Hamilton,9,,0,,,66,Edyta Sliwinska,Actor/Actress,Tennessee,United States,Eliminated Week 6,5,,Eliminated,6.0,0,0,,,
2,George Hamilton,10,,0,,,66,Edyta Sliwinska,Actor/Actress,Tennessee,United States,Eliminated Week 6,5,,Eliminated,6.0,0,0,,,
2,George Hamilton,11,,0,,,66,Edyta Sliwinska,Actor/Actress,Tennessee,United States,Eliminated Week 6,5,,Eliminated,6.0,0,0,,,
2,Giselle Fernandez,1,23.0,3,7.666666666666667,0.5773502691896257,44,Jonathan Roberts,News Anchor,,Mexico,Eliminated Week 3,8,,Eliminated,3.0,1,30,0.11794871794871795,0.8904382398008727,2.0
