Season,Celebrity,Week,Total_Score,Num_Judges,Avg_Score,Std_Score,Age,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,results,placement,Final_Rank,Final_Status,Elim_Week,Active,Max_Possible_Score,Percent_Score,Standardized_Score,Week_Rank,Partner_Clean,Partner_Name,Origin,Origin_Population,Twitter_Handle,Twitter_Followers_Est,Data_Source
1,Evander Holyfield,1,18.0,3,6.0,1.0,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,1,30,0.1651376146788991,-0.0672672793996317,2.0,Edyta Sliwinska,Edyta Sliwinska,Poland,38000000,EdytaSliwinska,45000,cached
1,Evander Holyfield,2,14.0,3,4.666666666666667,0.5773502691896257,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,1,30,0.1157024793388429,-1.5194078903533863,6.0,Edyta Sliwinska,Edyta Sliwinska,Poland,38000000,EdytaSliwinska,45000,cached
1,Evander Holyfield,3,13.0,3,4.333333333333333,0.5773502691896257,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,1,30,0.1226415094339622,-1.8446772097299744,5.0,Edyta Sliwinska,Edyta Sliwinska,Poland,38000000,EdytaSliwinska,45000,cached
1,Evander Holyfield,4,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,,Edyta Sliwinska,Edyta Sliwinska,Poland,38000000,EdytaSliwinska,45000,cached
1,Evander Holyfield,5,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,,Edyta Sliwinska,Edyta Sliwinska,Poland,38000000,EdytaSliwinska,45000,cached
1,Evander Holyfield,6,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,,Edyta Sliwinska,Edyta Sliwinska,Poland,38000000,EdytaSliwinska,45000,cached
1,Evander Holyfield,7,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,,Edyta Sliwinska,Edyta Sliwinska,Poland,38000000,EdytaSliwinska,45000,cached
1,Evander Holyfield,8,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,,Edyta Sliwinska,Edyta Sliwinska,Poland,38000000,EdytaSliwinska,45000,cached
1,Evander Holyfield,9,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,,Edyta Sliwinska,Edyta Sliwinska,Poland,38000000,EdytaSliwinska,45000,cached
1,Evander Holyfield,10,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,,Edyta Sliwinska,Edyta Sliwinska,Poland,38000000,EdytaSliwinska,45000,cached
1,Evander Holyfield,11,,0,,,42,Edyta Sliwinska,Athlete,Alabama,United States,Eliminated Week 3,5,,Eliminated,3.0,0,0,,,,Edyta Sliwinska,Edyta Sliwinska,Poland,38000000,EdytaSliwinska,45000,cached
1,Joey McIntyre,1,20.0,3,6.666666666666667,0.5773502691896258,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,1,30,0.1834862385321101,0.7399400733959433,1.0,Ashly DelGrosso,Ashly DelGrosso,California,38965193,,5000,cached
1,Joey McIntyre,2,21.0,3,7.0,1.0,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,1,30,0.1735537190082644,0.2053253905882951,3.0,Ashly DelGrosso,Ashly DelGrosso,California,38965193,,5000,cached
1,Joey McIntyre,3,22.0,3,7.333333333333333,0.5773502691896258,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,1,30,0.2075471698113207,0.1799685082663391,3.0,Ashly DelGrosso,Ashly DelGrosso,California,38965193,,5000,cached
1,Joey McIntyre,4,20.0,3,6.666666666666667,0.5773502691896257,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,1,30,0.217391304347826,-1.1766968108291045,4.0,Ashly DelGrosso,Ashly DelGrosso,California,38965193,,5000,cached
1,Joey McIntyre,5,22.5,3,7.5,0.8660254037844386,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,1,30,0.3082191780821918,-0.9502552681394956,3.0,Ashly DelGrosso,Ashly DelGrosso,California,38965193,,5000,cached
1,Joey McIntyre,6,,0,,,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,0,0,,,,Ashly DelGrosso,Ashly DelGrosso,California,38965193,,5000,cached
1,Joey McIntyre,7,,0,,,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,0,0,,,,Ashly DelGrosso,Ashly DelGrosso,California,38965193,,5000,cached
1,Joey McIntyre,8,,0,,,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,0,0,,,,Ashly DelGrosso,Ashly DelGrosso,California,38965193,,5000,cached
1,Joey McIntyre,9,,0,,,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,0,0,,,,Ashly DelGrosso,Ashly DelGrosso,California,38965193,,5000,cached
1,Joey McIntyre,10,,0,,,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,0,0,,,,Ashly DelGrosso,Ashly DelGrosso,California,38965193,,5000,cached
1,Joey McIntyre,11,,0,,,32,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,3rd Place,3,3.0,Finalist,,0,0,,,,Ashly DelGrosso,Ashly DelGrosso,California,38965193,,5000,cached
1,John O'Hurley,1,20.0,3,6.666666666666667,0.5773502691896258,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,1,30,0.1834862385321101,0.7399400733959433,1.0,Charlotte Jorgensen,Charlotte Jorgensen,Unknown,0,,1000,cached
1,John O'Hurley,2,26.0,3,8.666666666666666,0.5773502691896258,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,1,30,0.2148760330578512,1.4372777341180678,1.0,Charlotte Jorgensen,Charlotte Jorgensen,Unknown,0,,1000,cached
1,John O'Hurley,3,24.0,3,8.0,1.0,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,1,30,0.2264150943396226,0.6298897789321867,2.0,Charlotte Jorgensen,Charlotte Jorgensen,Unknown,0,,1000,cached
1,John O'Hurley,4,21.0,3,7.0,1.0,50,Charlotte Jorgensen,Actor/Actress,Maine,United States,2nd Place,2,2.0,Finalist,,1,30,0.2282608695652173,-0.7844645405527362,3.0,Charlotte Jorgensen,Charlotte Jorgensen,Unknown,0,,1000,cached
