Season,chains,draws,rhat_core_max,ess_bulk_core_min,ess_tail_core_min
1,2,500,1.9554823367487462,2.8314949022140734,19.02169430984421
2,2,500,2.6147910936306635,2.4216145017827575,21.04489710538417
3,2,500,2.0286898254238688,2.765813143097351,13.246002920855444
4,2,500,2.006995209590129,2.771604123262601,23.308670450970865
5,2,500,2.2807576707300714,2.5542336059539377,15.966256285575257
6,2,500,1.8650881238449835,2.9347994364879484,34.904889503941945
7,2,500,1.841450583165387,2.9300759977074144,18.678654224850725
8,2,500,1.6323232022605978,4.038244165992862,11.094729132124394
9,2,500,1.7423069837898095,3.0897213657947544,11.02894668864061
10,2,500,2.0510172325482916,2.7632873501498945,18.047661764397834
11,2,500,2.407500720545796,2.486288096109515,11.88776664976717
12,2,500,2.5069192152881747,2.454937149916182,15.826902172897606
13,2,500,2.857894375717483,2.33757915691719,11.064873468683638
14,2,500,1.7210111491135727,3.1296102842605187,11.06879266197182
15,2,500,1.9886907546514352,2.7955425412232264,13.896241219855526
16,2,500,2.4364891627146186,2.462897601057684,13.51754454625956
17,2,500,2.8976213217155817,2.317700642451563,12.27221390975494
18,2,500,2.1207887431436387,2.6503600475937863,11.291360116064578
19,2,500,2.3295281107238797,2.5310630334288327,11.762479319766282
20,2,500,1.8503565253980037,2.908525820907337,10.971638429223749
21,2,500,1.5576248251860736,3.7266722104501704,16.797437528643346
22,2,500,1.9497340427952825,2.7801752082987323,18.68677139527858
23,2,500,1.4941147341290646,3.756888775738921,11.3863975186908
24,2,500,1.536745558453727,3.5974789320347043,26.17930476192314
25,2,500,1.9820652784521031,2.7850598370009036,25.433331280225676
27,2,500,2.166588447313961,2.59907540081973,10.663782394895355
28,2,500,2.5082675425529706,2.4449715946371984,15.757339502953855
29,2,500,2.56865017340251,2.405953428792523,11.025837473828899
30,2,500,2.3676476492964937,2.504546366746386,11.336180853760295
31,2,500,2.4322589926792237,2.5048113600088437,11.468509370868247
32,2,500,1.998596673616781,2.7342474011052205,11.061740111763832
33,2,500,2.331556686399367,2.5125199648865553,11.584573940399412
34,2,500,1.6883030161631276,3.5130837677998215,13.835437420868935
