Season,Week,Celebrity,Rank_mean,Rank_sd,Rank_cv,Rank_CI_width
1,2,Evander Holyfield,1.286,0.4964377609030667,0.38603247348605496,1.0
1,2,Joey McIntyre,3.473,0.619398623387762,0.1783468538404152,2.0
1,2,John O'Hurley,4.443,0.8703496472731568,0.1958923356455451,3.0
1,2,Kelly Monaco,2.951,1.4781014118739564,0.5008815357078809,4.0
1,2,Rachel Hunter,2.864,1.1192661688609893,0.390805226557608,4.0
1,2,Trista Sutter,5.983,0.12933571713849087,0.021617201594265566,0.0
1,3,Evander Holyfield,4.153,0.5402618651014366,0.130089541319874,2.0
1,3,Joey McIntyre,2.531,1.5189951765382097,0.6001561345469023,4.0
1,3,John O'Hurley,2.797,1.1415314687270317,0.4081270892838869,4.0
1,3,Kelly Monaco,3.543,1.4813322872824128,0.4181011253972376,3.0
1,3,Rachel Hunter,1.976,0.9881297487680455,0.5000656623320068,2.0
1,4,Joey McIntyre,1.128,0.3342569785774528,0.29632710866795464,1.0
1,4,John O'Hurley,2.76,0.4272968319360472,0.15481769273045187,1.0
1,4,Kelly Monaco,2.135,0.6474520786855149,0.30325624294403514,2.0
1,4,Rachel Hunter,3.977,0.14997831007680248,0.03771141817369939,0.0
2,1,Drew Lachey,5.008,4.0067430651328255,0.8000685034210914,9.0
2,1,George Hamilton,5.69,2.807094544146987,0.4933382327147604,7.0
2,1,Giselle Fernandez,4.08,1.3473735248309635,0.3302386090271969,5.0
2,1,Jerry Rice,6.641,1.2472668818960417,0.18781311276856524,4.0
2,1,Kenny Mayne,9.077,0.9507759856953556,0.10474561922390169,4.0
2,1,Lisa Rinna,5.908,1.2259849261059612,0.20751268214386615,3.0
2,1,Master P,5.721,2.2383407178464076,0.391249906982417,7.024999999999999
2,1,Stacy Keibler,5.429,4.438091442912781,0.8174786227505583,9.0
2,1,Tatum O'Neal,2.537,0.8621916111714232,0.3398469101976441,2.0
2,1,Tia Carrere,4.909,1.2862244646147007,0.2620135393389083,6.0
2,2,Drew Lachey,4.987,0.9239505856292773,0.18527182386791205,3.0
2,2,George Hamilton,6.873,2.222118090653332,0.3233112309985933,5.0
2,2,Giselle Fernandez,3.371,0.9177152070229637,0.27223826965973413,3.0
2,2,Jerry Rice,1.078,0.26830577330349786,0.2488921830273635,1.0
2,2,Lisa Rinna,5.664,0.8589772068232321,0.15165558030071188,3.0
2,2,Master P,7.79,1.2733897759608097,0.16346466957134914,3.0
2,2,Stacy Keibler,2.776,0.7485882609180995,0.26966435912035286,2.0
2,2,Tatum O'Neal,7.999,0.054790528396813275,0.006849672258633989,0.0
2,2,Tia Carrere,4.462,2.5276362366734944,0.566480555059053,6.0
2,3,Drew Lachey,3.037,2.3321813973338505,0.7679227518386074,5.0
2,3,George Hamilton,3.373,1.2543701385334571,0.37188560288569733,4.0
2,3,Giselle Fernandez,7.317,0.46554025360620294,0.06362447090422345,1.0
2,3,Jerry Rice,4.906,1.1715530446960294,0.23880004987689146,4.0
2,3,Lisa Rinna,3.892,1.344672504420368,0.34549653248210893,4.0
2,3,Master P,5.915,2.318005208826794,0.39188591865203615,6.0
2,3,Stacy Keibler,3.387,1.123607357351087,0.33174117429911043,4.0
