season,historical_method,total_weeks,agree_count,disagree_count,agreement_rate,rank_correct_count,rank_accuracy,percent_correct_count,percent_accuracy,rank_incorrect_count,percent_incorrect_count
1,rank,3,2,1,0.6666666666666666,2,0.6666666666666666,3,1.0,1,0
2,rank,7,6,1,0.8571428571428571,4,0.5714285714285714,4,0.5714285714285714,3,3
3,percentage,7,6,1,0.8571428571428571,2,0.2857142857142857,3,0.42857142857142855,5,4
4,percentage,8,6,2,0.75,3,0.375,3,0.375,5,5
5,percentage,9,7,2,0.7777777777777778,3,0.3333333333333333,2,0.2222222222222222,6,7
6,percentage,7,7,0,1.0,5,0.7142857142857143,5,0.7142857142857143,2,2
7,percentage,7,5,2,0.7142857142857143,3,0.42857142857142855,3,0.42857142857142855,4,4
8,percentage,8,6,2,0.75,4,0.5,3,0.375,4,5
9,percentage,6,5,1,0.8333333333333334,0,0.0,0,0.0,6,6
10,percentage,8,7,1,0.875,6,0.75,6,0.75,2,2
11,percentage,9,7,2,0.7777777777777778,1,0.1111111111111111,1,0.1111111111111111,8,8
12,percentage,8,4,4,0.5,4,0.5,5,0.625,4,3
13,percentage,9,7,2,0.7777777777777778,2,0.2222222222222222,2,0.2222222222222222,7,7
14,percentage,7,5,2,0.7142857142857143,1,0.14285714285714285,3,0.42857142857142855,6,4
15,percentage,4,2,2,0.5,1,0.25,1,0.25,3,3
16,percentage,8,5,3,0.625,2,0.25,3,0.375,6,5
17,percentage,9,7,2,0.7777777777777778,2,0.2222222222222222,3,0.3333333333333333,7,6
18,percentage,7,7,0,1.0,3,0.42857142857142855,3,0.42857142857142855,4,4
19,percentage,10,5,5,0.5,2,0.2,3,0.3,8,7
20,percentage,7,5,2,0.7142857142857143,0,0.0,1,0.14285714285714285,7,6
21,percentage,6,2,4,0.3333333333333333,1,0.16666666666666666,2,0.3333333333333333,5,4
22,percentage,5,3,2,0.6,4,0.8,3,0.6,1,2
23,percentage,8,8,0,1.0,4,0.5,4,0.5,4,4
24,percentage,7,5,2,0.7142857142857143,1,0.14285714285714285,2,0.2857142857142857,6,5
25,percentage,6,5,1,0.8333333333333334,3,0.5,2,0.3333333333333333,3,4
27,percentage,5,4,1,0.8,3,0.6,2,0.4,2,3
28,rank,7,7,0,1.0,4,0.5714285714285714,4,0.5714285714285714,3,3
29,rank,8,5,3,0.625,4,0.5,5,0.625,4,3
30,rank,5,4,1,0.8,2,0.4,1,0.2,3,4
31,rank,7,6,1,0.8571428571428571,4,0.5714285714285714,3,0.42857142857142855,3,4
32,rank,9,9,0,1.0,4,0.4444444444444444,4,0.4444444444444444,5,5
33,rank,4,2,2,0.5,2,0.5,0,0.0,2,4
34,rank,7,6,1,0.8571428571428571,4,0.5714285714285714,3,0.42857142857142855,3,4
