season,week,n_contestants,actual_eliminated,rank_eliminated,percent_eliminated,historical_method,methods_agree,rank_correct,percent_correct
1,2,6,Trista Sutter,Trista Sutter,Trista Sutter,rank,True,True,True
1,3,5,Evander Holyfield,Kelly Monaco,Evander Holyfield,rank,False,False,True
1,4,4,Rachel Hunter,Rachel Hunter,Rachel Hunter,rank,True,True,True
2,1,10,Kenny Mayne,Kenny Mayne,Kenny Mayne,rank,True,True,True
2,2,9,Tatum O'Neal,Master P,Master P,rank,True,False,False
2,3,8,Giselle Fernandez,Jerry Rice,Master P,rank,False,False,False
2,4,7,Master P,Master P,Master P,rank,True,True,True
2,5,6,Tia Carrere,Tia Carrere,Tia Carrere,rank,True,True,True
2,6,5,George Hamilton,George Hamilton,George Hamilton,rank,True,True,True
2,7,4,Lisa Rinna,Jerry Rice,Jerry Rice,rank,True,False,False
3,1,11,Tucker Carlson,Jerry Springer,Jerry Springer,percentage,True,False,False
3,2,10,Shanna Moakler,Jerry Springer,Jerry Springer,percentage,True,False,False
3,3,9,Harry Hamlin,Emmitt Smith,Emmitt Smith,percentage,True,False,False
3,4,8,Vivica A. Fox,Sara Evans,Vivica A. Fox,percentage,False,False,True
3,5,7,Willa Ford,Jerry Springer,Jerry Springer,percentage,True,False,False
3,7,5,Jerry Springer,Jerry Springer,Jerry Springer,percentage,True,True,True
3,8,4,Monique Coleman,Monique Coleman,Monique Coleman,percentage,True,True,True
4,2,11,Paulina Porizkova,Shandi Finnessey,Clyde Drexler,percentage,False,False,False
4,3,10,Shandi Finnessey,Clyde Drexler,Billy Ray Cyrus,percentage,False,False,False
4,4,9,Leeza Gibbons,Clyde Drexler,Clyde Drexler,percentage,True,False,False
4,5,8,Clyde Drexler,Clyde Drexler,Clyde Drexler,percentage,True,True,True
4,6,7,Heather Mills,John Ratzenberger,John Ratzenberger,percentage,True,False,False
4,7,6,John Ratzenberger,Billy Ray Cyrus,Billy Ray Cyrus,percentage,True,False,False
4,8,5,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,percentage,True,True,True
4,9,4,Ian Ziering,Ian Ziering,Ian Ziering,percentage,True,True,True
5,1,12,Josie Maran,Floyd Mayweather Jr. ,Mel B,percentage,False,False,False
5,2,11,Albert Reed,Wayne Newton,Wayne Newton,percentage,True,False,False
5,3,10,Wayne Newton,Wayne Newton,Wayne Newton,percentage,True,True,True
5,4,9,Floyd Mayweather Jr. ,Mark Cuban,Mark Cuban,percentage,True,False,False
5,5,8,Mark Cuban,Mark Cuban,Mark Cuban,percentage,True,True,True
5,6,7,Sabrina Bryan,Marie Osmond,Marie Osmond,percentage,True,False,False
5,7,6,Jane Seymour,Jane Seymour,Jennie Garth,percentage,False,True,False
5,8,5,Cameron Mathison,Marie Osmond,Marie Osmond,percentage,True,False,False
5,9,4,Jennie Garth,Marie Osmond,Marie Osmond,percentage,True,False,False
6,3,10,Steve Guttenberg,Marlee Matlin,Marlee Matlin,percentage,True,False,False
6,4,9,Adam Carolla,Adam Carolla,Adam Carolla,percentage,True,True,True
6,5,8,Priscilla Presley,Shannon Elizabeth,Shannon Elizabeth,percentage,True,False,False
6,6,7,Marlee Matlin,Marlee Matlin,Marlee Matlin,percentage,True,True,True
6,7,6,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,percentage,True,True,True
6,8,5,Mario,Mario,Mario,percentage,True,True,True
6,9,4,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,percentage,True,True,True
7,2,11,Kim Kardashian,Rocco DiSpirito,Rocco DiSpirito,percentage,True,False,False
7,4,9,Rocco DiSpirito,Maurice Greene,Cloris Leachman,percentage,False,False,False
7,5,8,Toni Braxton,Cloris Leachman,Cloris Leachman,percentage,True,False,False
7,6,7,Cloris Leachman,Cloris Leachman,Cloris Leachman,percentage,True,True,True
7,7,6,Susan Lucci,Maurice Greene,Cody Linley,percentage,False,False,False
7,8,5,Maurice Greene,Maurice Greene,Maurice Greene,percentage,True,True,True
7,9,4,Cody Linley,Cody Linley,Cody Linley,percentage,True,True,True
8,2,13,Belinda Carlisle,Holly Madison,Holly Madison,percentage,True,False,False
8,3,12,Denise Richards,Steve Wozniak,Steve Wozniak,percentage,True,False,False
8,5,9,David Alan Grier,Ty Murray,Melissa Rycroft,percentage,False,False,False
8,6,8,Steve-O,Steve-O,Steve-O,percentage,True,True,True
8,7,7,Lawrence Taylor,Lil' Kim,Lil' Kim,percentage,True,False,False
8,8,6,Chuck Wicks,Chuck Wicks,Gilles Marini,percentage,False,True,False
8,9,5,Lil' Kim,Lil' Kim,Lil' Kim,percentage,True,True,True
8,10,4,Ty Murray,Ty Murray,Ty Murray,percentage,True,True,True
9,2,14,Kathy Ireland,Tom DeLay,Natalie Coughlin,percentage,False,False,False
9,3,13,Debi Mazar,Michael Irvin,Michael Irvin,percentage,True,False,False
9,4,11,Chuck Liddell,Louie Vito,Louie Vito,percentage,True,False,False
9,5,10,Natalie Coughlin,Michael Irvin,Michael Irvin,percentage,True,False,False
9,8,5,Aaron Carter,Donny Osmond,Donny Osmond,percentage,True,False,False
9,9,4,Joanna Krupa,Donny Osmond,Donny Osmond,percentage,True,False,False
10,2,11,Shannen Doherty,Buzz Aldrin,Buzz Aldrin,percentage,True,False,False
10,3,10,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,percentage,True,True,True
10,4,9,Aiden Turner,Aiden Turner,Aiden Turner,percentage,True,True,True
10,5,8,Kate Gosselin,Kate Gosselin,Kate Gosselin,percentage,True,True,True
10,6,7,Jake Pavelka,Jake Pavelka,Jake Pavelka,percentage,True,True,True
10,7,6,Pamela Anderson,Erin Andrews,Nicole Scherzinger,percentage,False,False,False
10,8,5,Niecy Nash,Niecy Nash,Niecy Nash,percentage,True,True,True
10,9,4,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,percentage,True,True,True
11,1,12,David Hasselhoff,Michael Bolton,Michael Bolton,percentage,True,False,False
11,2,11,Michael Bolton,The Situation,The Situation,percentage,True,False,False
11,3,10,Margaret Cho,Bristol Palin,The Situation,percentage,False,False,False
11,4,9,The Situation,The Situation,The Situation,percentage,True,True,True
11,5,8,Florence Henderson,Audrina Patridge,Bristol Palin,percentage,False,False,False
11,6,7,Audrina Patridge,Kurt Warner,Kurt Warner,percentage,True,False,False
11,7,6,Rick Fox,Kurt Warner,Kurt Warner,percentage,True,False,False
11,8,5,Kurt Warner,Bristol Palin,Bristol Palin,percentage,True,False,False
11,9,4,Brandy,Bristol Palin,Bristol Palin,percentage,True,False,False
12,2,11,Mike Catherwood,Wendy Williams,Chelsea Kane,percentage,False,False,False
12,3,10,Wendy Williams,Wendy Williams,Chris Jericho,percentage,False,True,False
12,4,9,Sugar Ray Leonard,Kendra Wilkinson,Kendra Wilkinson,percentage,True,False,False
12,5,8,Petra Nemcova,Kirstie Alley,Petra Nemcova,percentage,False,False,True
12,6,7,Chris Jericho,Ralph Macchio,Chris Jericho,percentage,False,False,True
12,7,6,Kendra Wilkinson,Kendra Wilkinson,Kendra Wilkinson,percentage,True,True,True
12,8,5,Romeo,Romeo,Romeo,percentage,True,True,True
12,9,4,Ralph Macchio,Ralph Macchio,Ralph Macchio,percentage,True,True,True
13,1,12,Metta World Peace (Ron),Nancy Grace,Nancy Grace,percentage,True,False,False
13,2,11,Elisabetta Canalis,David Arquette,Rob Kardashian,percentage,False,False,False
13,3,10,Kristin Cavallari,Chaz Bono,Chaz Bono,percentage,True,False,False
13,4,9,Chynna Phillips,Nancy Grace,Rob Kardashian,percentage,False,False,False
13,5,8,Carson Kressley,Carson Kressley,Carson Kressley,percentage,True,True,True
13,6,7,Chaz Bono,Rob Kardashian,Rob Kardashian,percentage,True,False,False
13,7,6,David Arquette,Nancy Grace,Nancy Grace,percentage,True,False,False
13,8,5,Nancy Grace,Nancy Grace,Nancy Grace,percentage,True,True,True
13,9,4,Hope Solo,J.R. Martinez,J.R. Martinez,percentage,True,False,False
14,2,12,Martina Navratilova,Sherri Sheperd,Martina Navratilova,percentage,False,False,True
14,3,11,Jack Wagner,Gladys Knight,Gladys Knight,percentage,True,False,False
14,4,10,Sherri Sheperd,Gladys Knight,Gladys Knight,percentage,True,False,False
14,5,9,Gavin DeGraw,Melissa Gilbert,Melissa Gilbert,percentage,True,False,False
14,6,8,Gladys Knight,Gladys Knight,Gladys Knight,percentage,True,True,True
14,7,7,Jaleel White,Roshon Fegan,Roshon Fegan,percentage,True,False,False
14,9,4,Maria Menounos,Donald Driver,Maria Menounos,percentage,False,False,True
15,1,13,Pamela Anderson,Pamela Anderson,Pamela Anderson,percentage,True,True,True
15,2,12,Joey Fatone,Kirstie Alley,Helio Castroneves,percentage,False,False,False
15,4,9,Bristol Palin,Kirstie Alley,Kirstie Alley,percentage,True,False,False
15,6,8,Sabrina Bryan,Emmitt Smith,Shawn Johnson,percentage,False,False,False
16,3,11,Wynonna Judd,D. L. Hughley,D. L. Hughley,percentage,True,False,False
16,4,10,Lisa Vanderpump,Lisa Vanderpump,Andy Dick,percentage,False,True,False
16,5,9,D. L. Hughley,Andy Dick,Andy Dick,percentage,True,False,False
16,6,8,Victor Ortiz,Jacoby Jones,Jacoby Jones,percentage,True,False,False
16,7,7,Andy Dick,Sean Lowe,Andy Dick,percentage,False,False,True
16,8,6,Sean Lowe,Ingo Rademacher,Sean Lowe,percentage,False,False,True
16,9,5,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,percentage,True,True,True
16,10,4,Alexandra Raisman,Jacoby Jones,Jacoby Jones,percentage,True,False,False
17,2,12,Keyshawn Johnson,Bill Nye,Bill Nye,percentage,True,False,False
17,3,11,Bill Nye,Valerie Harper,Valerie Harper,percentage,True,False,False
17,4,10,Valerie Harper,Valerie Harper,Valerie Harper,percentage,True,True,True
17,5,9,Christina Milian,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",percentage,True,False,False
17,7,8,"Nicole ""Snooki"" Polizzi",Bill Engvall,Elizabeth Berkley Lauren,percentage,False,False,False
