Season,Week,Celebrity,Rank_mean_sigma0.3,Rank_mean_sigma0.5,Rank_mean_sigma1,Rank_mean_existing,Delta_mean_0.3_minus_0.5,Delta_mean_1_minus_0.5
1,2,Evander Holyfield,4.665,3.92,3.183333333333333,1.286,0.7450000000000001,-0.736666667
1,2,Joey McIntyre,3.453333333333333,2.256666666666667,4.148333333333333,3.473,1.1966666666666663,1.8916666666666666
1,2,John O'Hurley,1.0033333333333334,1.5166666666666666,2.6866666666666665,4.443,-0.513333333,1.17
1,2,Kelly Monaco,4.261666666666667,4.285,3.015,2.951,-0.023333333,-1.27
1,2,Rachel Hunter,2.1166666666666667,3.05,2.0833333333333335,2.864,-0.933333333,-0.966666667
1,2,Trista Sutter,5.5,5.971666666666667,5.883333333333334,5.983,-0.471666667,-0.088333333
1,3,Evander Holyfield,5,4.361666666666666,4.29,4.153,0.6383333333333336,-0.071666667
1,3,Joey McIntyre,1.5183333333333333,2.0683333333333334,2.361666666666667,2.531,-0.55,0.29333333333333345
1,3,John O'Hurley,2.6666666666666665,2.47,2.6416666666666666,2.797,0.19666666666666632,0.1716666666666664
1,3,Kelly Monaco,3.235,4.06,3.52,3.543,-0.825,-0.54
1,3,Rachel Hunter,2.58,2.04,2.1866666666666665,1.976,0.54,0.1466666666666665
1,4,Joey McIntyre,2.56,2.1,1.8983333333333334,1.128,0.45999999999999996,-0.201666667
1,4,John O'Hurley,2.6733333333333333,1.875,2.4516666666666667,2.76,0.7983333333333333,0.5766666666666667
1,4,Kelly Monaco,1.625,2.315,1.935,2.135,-0.69,-0.38
1,4,Rachel Hunter,3.1416666666666666,3.71,3.715,3.977,-0.568333333,0.004999999999999893
2,1,Drew Lachey,2.5516666666666667,2.39,3.165,5.008,0.16166666666666663,0.7749999999999999
2,1,George Hamilton,7.193333333333333,7.528333333333333,6.153333333333333,5.69,-0.335,-1.375
2,1,Giselle Fernandez,1.8716666666666666,1.6816666666666666,1.6183333333333334,4.08,0.18999999999999995,-0.063333333
2,1,Jerry Rice,5.4383333333333335,4.796666666666667,5.71,6.641,0.6416666666666666,0.9133333333333331
2,1,Kenny Mayne,9,9,9.495,9.077,0,0.4949999999999992
2,1,Lisa Rinna,6.028333333333333,7.133333333333334,4.828333333333333,5.908,-1.105,-2.305
2,1,Master P,10,10,9.505,5.721,0,-0.495
2,1,Stacy Keibler,4.048333333333333,4.303333333333334,6.615,5.429,-0.255,2.3116666666666665
2,1,Tatum O'Neal,2.0566666666666666,2.4,2.6466666666666665,2.537,-0.343333333,0.2466666666666666
2,1,Tia Carrere,6.8116666666666665,5.766666666666667,5.263333333333334,4.909,1.045,-0.503333333
2,2,Drew Lachey,1.8616666666666666,2.033333333333333,2.3116666666666665,4.987,-0.171666667,0.2783333333333333
2,2,George Hamilton,5.746666666666667,5.506666666666667,4.628333333333333,6.873,0.2400000000000002,-0.878333333
2,2,Giselle Fernandez,4.156666666666666,3.4183333333333334,3.21,3.371,0.7383333333333328,-0.208333333
2,2,Jerry Rice,2.95,3.296666666666667,3.0316666666666667,1.078,-0.346666667,-0.265
2,2,Lisa Rinna,7.351666666666667,7.035,7.13,5.664,0.31666666666666643,0.09499999999999975
2,2,Master P,8.078333333333333,8.768333333333333,7.54,7.79,-0.69,-1.228333333
2,2,Stacy Keibler,1.4916666666666667,1.3833333333333333,1.9366666666666668,2.776,0.10833333333333339,0.5533333333333335
2,2,Tatum O'Neal,8.091666666666667,8.191666666666666,8.635,7.999,-0.1,0.44333333333333336
2,2,Tia Carrere,5.2716666666666665,5.366666666666666,6.576666666666667,4.462,-0.095,1.2100000000000009
2,3,Drew Lachey,2.2716666666666665,1.9566666666666668,1.6283333333333334,3.037,0.3149999999999997,-0.328333333
2,3,George Hamilton,4.493333333333333,4.778333333333333,4.366666666666666,3.373,-0.285,-0.411666667
2,3,Giselle Fernandez,6.008333333333334,6.005,6.345,7.317,0.0033333333333338544,0.33999999999999986
2,3,Jerry Rice,7.22,6.995,6.963333333333333,4.906,0.22499999999999964,-0.031666667
2,3,Lisa Rinna,4.265,4.161666666666667,4.746666666666667,3.892,0.10333333333333261,0.585
2,3,Master P,7.7716666666666665,8,7.44,5.915,-0.228333333,-0.56
2,3,Stacy Keibler,1,1.1933333333333334,1.3766666666666667,3.387,-0.193333333,0.18333333333333335
2,3,Tia Carrere,2.97,2.91,3.1333333333333333,4.173,0.06000000000000005,0.22333333333333316
2,4,Drew Lachey,1.7616666666666667,1.8716666666666666,1.195,3.507,-0.11,-0.676666667
2,4,George Hamilton,5.758333333333334,5.881666666666667,5.293333333333333,3.634,-0.123333333,-0.588333333
2,4,Jerry Rice,3.5483333333333333,3.22,3.0566666666666666,1.814,0.32833333333333314,-0.163333333
2,4,Lisa Rinna,4.12,2.95,3.135,3.865,1.17,0.1849999999999996
2,4,Master P,7,7,7,5.689,0,0
2,4,Stacy Keibler,3.466666666666667,3.8316666666666666,3.855,5.052,-0.365,0.023333333333333428
2,4,Tia Carrere,2.345,3.245,4.465,4.439,-0.9,1.2199999999999998
2,5,Drew Lachey,2.22,1.9566666666666668,2.74,3.753,0.2633333333333334,0.7833333333333334
2,5,George Hamilton,3.5883333333333334,3.575,4.833333333333333,2.325,0.013333333333333197,1.2583333333333329
2,5,Jerry Rice,4.331666666666667,4.763333333333334,4.411666666666667,1.619,-0.431666667,-0.351666667
2,5,Lisa Rinna,3.7416666666666667,3.645,2.5033333333333334,4.677,0.09666666666666668,-1.141666667
2,5,Stacy Keibler,1.1283333333333334,1.06,1,3.974,0.06833333333333336,-0.06
2,5,Tia Carrere,5.99,6,5.511666666666667,4.652,-0.01,-0.488333333
2,6,Drew Lachey,2.01,2.245,2.6733333333333333,4.092,-0.235,0.42833333333333323
2,6,George Hamilton,5,4.998333333333333,5,4.56,0.0016666666666669272,0.0016666666666669272
2,6,Jerry Rice,4,4.001666666666667,3.8716666666666666,3.104,-0.001666667,-0.13
2,6,Lisa Rinna,2.835,2.6566666666666667,1.95,1.698,0.17833333333333323,-0.706666667
2,6,Stacy Keibler,1.155,1.0983333333333334,1.505,1.546,0.05666666666666664,0.4066666666666665
2,7,Drew Lachey,1.6233333333333333,1.9166666666666667,1.495,1.211,-0.293333333,-0.421666667
2,7,Jerry Rice,4,4,3.631666666666667,3.174,0,-0.368333333
2,7,Lisa Rinna,3,3,3.368333333333333,3.334,0,0.3683333333333332
2,7,Stacy Keibler,1.3766666666666667,1.0833333333333333,1.505,2.281,0.29333333333333345,0.42166666666666663
3,1,Emmitt Smith,1.875,2.4633333333333334,3.6133333333333333,5.353,-0.588333333,1.15
3,1,Harry Hamlin,6.083333333333333,6.951666666666667,6.8966666666666665,5.259,-0.868333333,-0.055
3,1,Jerry Springer,8.698333333333334,9.586666666666666,9.006666666666666,9.239,-0.888333333,-0.58
3,1,Joey Lawrence,3.546666666666667,5.033333333333333,4.848333333333334,6.281,-1.486666667,-0.185
3,1,Mario Lopez,1.5133333333333334,1.66,3.675,3.584,-0.146666667,2.0149999999999997
3,1,Monique Coleman,7.826666666666667,5.94,4.751666666666667,5.619,1.8866666666666667,-1.188333333
3,1,Sara Evans,9.591666666666667,8.901666666666667,8.508333333333333,8.877,0.6899999999999995,-0.393333333
3,1,Shanna Moakler,7.488333333333333,7.126666666666667,6.265,7.286,0.36166666666666636,-0.861666667
3,1,Tucker Carlson,10.978333333333333,10.538333333333334,10.576666666666666,7.43,0.4399999999999995,0.03833333333333222
3,1,Vivica A. Fox,4.666666666666667,5.085,5.6066666666666665,3.867,-0.418333333,0.5216666666666665
3,1,Willa Ford,3.7316666666666665,2.7133333333333334,2.2516666666666665,3.205,1.018333333333333,-0.461666667
3,2,Emmitt Smith,4.011666666666667,5.213333333333333,5.16,6.478,-1.201666667,-0.053333333
3,2,Harry Hamlin,6.373333333333333,2.151666666666667,2.9966666666666666,4.056,4.221666666666666,0.8449999999999998
3,2,Jerry Springer,9.896666666666667,9.306666666666667,9.288333333333334,8.693,0.5899999999999999,-0.018333333
3,2,Joey Lawrence,3.4233333333333333,6.113333333333333,6.1883333333333335,4.086,-2.69,0.07500000000000018
3,2,Mario Lopez,6.788333333333333,6.375,7.98,5.556,0.4133333333333331,1.6050000000000004
3,2,Monique Coleman,1.8083333333333333,5.533333333333333,4.536666666666667,5.177,-3.725,-0.996666667
3,2,Sara Evans,5.45,6.675,5.258333333333334,3.622,-1.225,-1.416666667
3,2,Shanna Moakler,5.341666666666667,4.628333333333333,2.99,5.9,0.7133333333333338,-1.638333333
3,2,Vivica A. Fox,4.958333333333333,2.7666666666666666,3.7483333333333335,5.736,2.1916666666666664,0.9816666666666669
3,2,Willa Ford,6.948333333333333,6.236666666666666,6.8533333333333335,5.696,0.7116666666666669,0.6166666666666671
3,3,Emmitt Smith,8.756666666666666,8.755,8.076666666666666,7.406,0.0016666666666651508,-0.678333333
3,3,Harry Hamlin,5.176666666666667,5.56,5.541666666666667,6.556,-0.383333333,-0.018333333
3,3,Jerry Springer,6.883333333333334,5.845,4.685,5.264,1.038333333333334,-1.16
