Celebrity,State,State_Population
AJ McLean,Florida,22610726
Aaron Carter,Florida,22610726
Adam Carolla,California,38965193
Adam Rippon,Pennsylvania,12961683
Adrian Peterson,Texas,30503301
Albert Reed,Florida,22610726
Alek Skarlatos,California,38965193
Alexa PenaVega,Florida,22610726
Alexandra Raisman,Massachusetts,7001399
Alexis Ren,California,38965193
Alfonso Ribeiro,New York,19571216
Alix Earle,Florida,22610726
Ally Brooke,Texas,30503301
Alyson Hannigan,Washington D.C.,678972
Amanda Kloots,Ohio,11785935
Amber Riley,California,38965193
Amber Rose,Pennsylvania,12961683
Amy Purdy,Nevada,3194176
Andy Dick,South Carolina,5373555
Andy Grammer,California,38965193
Andy Richter,California,38965193
Anne Heche,Ohio,11785935
Antonio Brown,Florida,22610726
Apolo Anton Ohno,Washington,7812880
Ariana Madix,Florida,22610726
Arike Ogunbowale,Wisconsin,5910955
Ashley Hamiliton,California,38965193
Audrina Patridge,California,38965193
Babyface,Indiana,6862199
Barbara Corcoran,New Jersey,9290841
Baron Davis,California,38965193
Barry Williams,California,38965193
Belinda Carlisle,California,38965193
Bethany Mota,California,38965193
Betsey Johnson,Connecticut,3617176
Bill Engvall,Texas,30503301
Bill Nye,Washington D.C.,678972
Billy Dee Williams,New York,19571216
Billy Ray Cyrus,Kentucky,4526154
Bobby Bones,Arkansas,3067732
Bonner Bolton,Texas,30503301
Brandy,Mississippi,2939690
Brant Daugherty,Ohio,11785935
Brian Austin Green,California,38965193
Bristol Palin,Alaska,733406
Brooke Burke,Connecticut,3617176
Brooks Nader,New York,19571216
Buzz Aldrin,New Jersey,9290841
Calvin Johnson Jr.,Georgia,11029227
Candace Cameron Bure,California,38965193
Carlos PenaVega,Missouri,6196156
Carole Baskin,Texas,30503301
Carson Kressley,Pennsylvania,12961683
Chad Ochocinco,Florida,22610726
Chaka Khan,Illinois,12549689
Chandler Kinney,California,38965193
Charity Lawson,Georgia,11029227
Charles Oakley,Ohio,11785935
Charli D'Amelio,Connecticut,3617176
Charlie White,Michigan,10037261
Charlotte McKinney,Florida,22610726
Chaz Bono,California,38965193
Chelsea Kane,Arizona,7431344
Cheryl Ladd,South Dakota,919318
Chris Jericho,New York,19571216
Chris Kattan,California,38965193
Chris Mazdzer,Massachusetts,7001399
Chris Soules,Iowa,3207004
Chrishell Stause,Kentucky,4526154
Christina Milian,New Jersey,9290841
Chuck Liddell,California,38965193
Chuck Wicks,Delaware,1031890
Chynna Phillips,California,38965193
Cloris Leachman,Iowa,3207004
Clyde Drexler,Louisiana,4573749
Cody Linley,Texas,30503301
Cody Rigsby,California,38965193
Corbin Bleu,New York,19571216
Corey Feldman,California,38965193
D. L. Hughley,Virginia,8683619
Danelle Umstead,New Mexico,2114371
Danica McKellar,California,38965193
Daniel Durant,Michigan,10037261
Danielle Fishel,California,38965193
Danny Amendola,Texas,30503301
David Alan Grier,Michigan,10037261
David Arquette,Virginia,8683619
David Hasselhoff,Maryland,6180253
David Ross,Georgia,11029227
DeMarcus Ware,Alabama,5108468
Debbie Gibson,New York,19571216
Debi Mazar,New York,19571216
Denise Richards,Illinois,12549689
Derek Fisher,Arkansas,3067732
Diana Nyad,New York,19571216
Donald Driver,Texas,30503301
Donny Osmond,Utah,3417734
Dorothy Hamill,Illinois,12549689
Doug Flutie,Maryland,6180253
Drew Carey,Ohio,11785935
