Season,Contestant_Count,WDD,WDD_Max,WNRDD_Score
1,6,0.6667,16.3333,0.0408
2,10,0.4,44.0,0.0091
3,11,1.9091,52.7273,0.0362
4,11,0.9091,52.7273,0.0172
5,12,0.75,62.8333,0.0119
6,10,1.3,44.0,0.0295
7,11,3.0909,52.7273,0.0586
8,13,1.6154,73.2308,0.0221
9,14,4.4286,85.0,0.0521
10,11,0.6364,52.7273,0.0121
11,12,3.3333,62.8333,0.0531
12,11,0.8182,52.7273,0.0155
13,12,2.5,62.8333,0.0398
14,12,1.1667,62.8333,0.0186
15,13,5.4615,73.2308,0.0746
16,11,0.9091,52.7273,0.0172
17,12,1.75,62.8333,0.0279
18,11,1.0909,52.7273,0.0207
19,13,3.3077,73.2308,0.0452
20,12,2.5,62.8333,0.0398
21,10,2.5,44.0,0.0568
22,12,2.1667,62.8333,0.0345
23,13,3.0,73.2308,0.041
24,12,1.75,62.8333,0.0279
25,11,1.8182,52.7273,0.0345
27,13,3.0769,73.2308,0.042
28,12,3.5833,62.8333,0.057
29,15,0.9333,97.0667,0.0096
30,15,9.2,97.0667,0.0948
31,16,6.0625,110.5,0.0549
32,14,6.2857,85.0,0.0739
33,9,3.1111,35.5556,0.0875
34,12,4.8333,62.8333,0.0769
